,close,volume,open,high,low
2001-01-02,3294,3892,3260,3430,3260
2001-01-03,3396,3916,3328,3430,3294
2001-01-04,3498,6728,3481,3702,3481
2001-01-05,3447,12785,3532,3566,3396
2001-01-08,3447,4888,3481,3532,3447
2001-01-09,3634,11116,3481,3634,3481
2001-01-10,3549,7020,3515,3719,3515
2001-01-11,3498,9702,3566,3566,3447
2001-01-12,3481,7667,3498,3515,3481
2001-01-15,3447,5388,3515,3566,3430
2001-01-16,3413,6987,3413,3464,3396
2001-01-17,3430,6410,3464,3549,3413
2001-01-18,3379,5488,3430,3430,3362
2001-01-19,3396,8692,3396,3396,3379
2001-01-22,3498,6434,3362,3905,3362
2001-01-26,3430,4787,3498,3498,3413
2001-01-29,3413,5412,3464,3464,3328
2001-01-30,3464,7105,3498,3498,3430
2001-01-31,3600,7944,3532,3600,3498
2001-02-01,3430,6616,3532,3549,3430
2001-02-02,3464,5524,3396,3566,3396
2001-02-05,3464,6699,3430,3532,3430
2001-02-06,3498,4687,3651,3651,3464
2001-02-07,3464,6124,3430,3498,3396
2001-02-08,3515,9805,3379,3515,3379
2001-02-09,3498,4402,3498,3532,3413
2001-02-12,3498,5335,3430,3532,3430
2001-02-13,3549,13312,3515,3549,3396
2001-02-14,3736,21325,3532,3804,3498
2001-02-15,3566,19328,3719,3719,3498
2001-02-16,3515,12017,3566,3668,3481
2001-02-19,3736,16766,3532,3736,3532
2001-02-20,3939,14846,3719,4075,3719
2001-02-21,4500,46383,4007,4517,3770
2001-02-22,3973,33256,4075,4279,3854
2001-02-23,4143,18180,4092,4568,4041
2001-02-26,3905,10959,4075,4143,3905
2001-02-27,3804,6030,3905,4007,3804
2001-02-28,3702,9172,3702,3804,3702
2001-03-02,3787,11666,4058,4058,3736
2001-03-05,3736,10535,3787,3837,3668
2001-03-06,3787,31575,3736,4245,3447
2001-03-07,3770,13274,3736,3905,3736
2001-03-08,3905,14204,3905,3990,3905
2001-03-09,4347,79349,4075,4483,3973
2001-03-12,4585,53683,4330,4585,4177
2001-03-13,3956,31392,4483,4754,3956
2001-03-14,4211,18141,4075,4245,3956
2001-03-15,3804,23969,4075,4109,3583
2001-03-16,3736,19967,3837,3990,3736
2001-03-19,3736,28704,3702,3905,3668
2001-03-20,3736,11416,3804,3837,3736
2001-03-21,3719,8215,3770,3770,3668
2001-03-22,3634,13356,3685,3719,3617
2001-03-23,3651,15942,3702,3770,3634
2001-03-26,3804,18386,3651,3888,3651
2001-03-27,3668,9402,3770,3770,3668
2001-03-28,3566,13554,3736,3770,3566
2001-03-29,3498,12446,3566,3566,3396
2001-03-30,3549,16501,3396,3566,3396
2001-04-02,3260,18883,3600,3600,3260
2001-04-03,3107,13032,3243,3328,2988
2001-04-04,3243,11489,3158,3243,3056
2001-04-06,3226,3957,3073,3328,3073
2001-04-09,3158,4534,3226,3226,3158
2001-04-10,3617,13786,3158,3617,3141
2001-04-11,3090,95329,3736,4143,3090
2001-04-12,3396,32146,3124,3481,3124
2001-04-13,3328,16436,3226,3396,3226
2001-04-16,3447,6755,3396,3617,3396
2001-04-17,3498,31967,3328,3770,3328
2001-04-18,3532,10088,3736,3736,3498
2001-04-19,3600,15889,3430,3600,3430
2001-04-20,3447,8539,3413,3566,3413
2001-04-23,3430,12379,3430,3430,3311
2001-04-24,3362,12603,3362,3430,3328
2001-04-25,3311,14452,3362,3362,3277
2001-04-26,3311,17550,3294,3362,3209
2001-04-27,3260,7017,3311,3311,3243
2001-04-30,3396,10209,3294,3396,3277
2001-05-02,3430,11272,3447,3464,3396
2001-05-03,3515,10161,3430,3736,3430
2001-05-04,3498,4608,3498,3651,3498
2001-05-07,3430,10583,3498,3498,3396
2001-05-08,3396,10226,3430,3566,3396
2001-05-09,3498,4125,3566,3566,3430
2001-05-10,3634,24163,3498,3736,3413
2001-05-11,3973,27164,3685,3990,3685
2001-05-14,4296,33000,4398,4398,3973
2001-05-15,4075,15683,4126,4211,4075
2001-05-16,4686,26398,4075,4686,4075
2001-05-17,5383,48147,5383,5383,5383
2001-05-18,6181,65974,5502,6181,5502
2001-05-21,7098,8969,7098,7098,7098
2001-05-22,8150,140912,8150,8150,7132
2001-05-23,6928,158274,8150,8626,6928
2001-05-24,7471,92921,7183,7964,6452
2001-05-25,6554,43854,7675,7675,6554
2001-05-28,6520,74060,6181,6520,6181
2001-05-29,5943,27214,6520,6520,5943
2001-05-30,5773,34840,5943,6283,5773
2001-05-31,5603,25270,5705,5773,5434
2001-06-01,5773,26136,5773,5977,5603
2001-06-04,6639,34567,6113,6639,6113
